APP_CODE,DEST_ID,SUB_DEST_ID,ORDER_MGMT_SYS_CODE,SALES_BUS_LINE_ID,SALES_BUS_DIVISION,MS_DEST_ID,ISSUE_TYPE_CODE,SALES_CAPTURE_METHOD_CODE,10
MMETL,MMETL,,CARBON,CORE,IED,77MMRTRINST1_NYPMM72_MMNASD2,STOCK,Phone,11
MMETL,MMETL,,FIX_DMA,CLSITTRD,,78MMRTRCD1_NYPMM59_MMTRADER2,STOCK,FIX,541
MMETL,MMETL,,FIX_DMA,CLSITTRD,,78MMRTRCD1_NYPMM63_MMTRADER1,ADR,FIX,32
MMETL,MMETL,,FIX_DMA,CLSITTRD,,78MMRTRCD1_NYPMM67_MMTRADER4,STOCK,FIX,837
MMETL,MMETL,,CG_SWAP,CLSITTRD,,78MMRTRMVEA1_NYPMM61_MMTRADER5,ADR,,5
RBE,RMBCASH,A2X,FIX_SWAP,CLSITTRD,,A2X,STOCK,FIX,71404
PROXIMA,AMEX,,PROXIMA,CLSITTRD,,AMEX,STOCK,FIX,13824
SORT,NYAX,,FIX_DMA,CLSITTRD,,AMEX,STOCK,FIX,2719
RBE,AQUISEU,,FIX_SWAP,CLSITTRD,,AQE,ADR,FIX,197
RBE,AQUIS,,CG_DMA,CLSITTRD,,AQX,FUND,,6206
SORT,ARCX,ARCA,FIX_SWAP,CLSITTRD,,ARCA,STOCK,FIX,309
SORT,INCR,,CG_DMA,CLSITTRD,,ASPEN,ETF,FIX,55419
RBE,ASX,,FIX_BXS,CLSITTRD,,ASX,ADR,FIX,10
